date,begin,high,low,end,volume
2018/1/22 17:00,"11,760","11,760","11,760","11,760",1
,,,,,
2018/1/22 15:00,"11,650","11,660","11,650","11,660",2
2018/1/22 14:00,"11,500","11,640","11,480","11,640",10
,,,,,
2018/1/22 12:00,"11,560","11,730","11,560","11,730",2
2018/1/22 11:00,"11,550","11,550","11,530","11,530",2
,,,,,
2018/1/22 9:00,"11,760","11,770","11,730","11,730",7
2018/1/22 8:00,"11,560","11,560","11,560","11,560",1
2018/1/22 7:00,"11,480","11,480","11,300","11,450",8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/20 5:00,"11,350","11,550","11,350","11,370",15
2018/1/20 4:00,"11,250","11,360","11,250","11,360",6
2018/1/20 3:00,"11,190","11,340","11,180","11,340",7
2018/1/20 2:00,"11,500","11,500","11,300","11,300",7
2018/1/20 1:00,"11,740","11,810","11,550","11,550",8
2018/1/20 0:00,"11,670","11,770","11,590","11,770",4
2018/1/19 23:00,"11,750","11,750","11,540","11,720",9
2018/1/19 22:00,"11,750","11,870","11,750","11,760",12
2018/1/19 21:00,"12,000","12,000","11,900","11,900",7
2018/1/19 20:00,"11,830","11,900","11,830","11,900",3
2018/1/19 19:00,"11,987","11,987","11,930","11,950",5
2018/1/19 18:00,"11,720","11,940","11,720","11,940",3
2018/1/19 17:00,"11,880","11,910","11,800","11,800",8
2018/1/19 16:00,"11,420","11,770","11,250","11,770",20
,,,,,
,,,,,
2018/1/19 13:00,"11,100","11,580","11,100","11,580",20
2018/1/19 12:00,"11,270","11,270","11,060","11,060",6
2018/1/19 11:00,"11,280","11,280","11,130","11,230",3
2018/1/19 10:00,"11,420","11,420","11,420","11,420",1
2018/1/19 9:00,"11,380","11,550","11,380","11,550",3
2018/1/19 8:00,"11,180","11,450","11,160","11,450",15
2018/1/19 7:00,"11,420","11,420","11,420","11,420",2
2018/1/19 6:00,"11,470","11,470","11,240","11,240",6
2018/1/19 5:00,"11,990","12,080","11,860","11,880",10
2018/1/19 4:00,"11,830","11,960","11,820","11,960",26
2018/1/19 3:00,"11,730","11,880","11,730","11,880",8
2018/1/19 2:00,"11,770","11,770","11,520","11,650",18
2018/1/19 1:00,"11,780","11,860","11,720","11,860",14
2018/1/19 0:00,"12,001","12,054","11,770","11,770",29
2018/1/18 23:00,"11,870","12,200","11,850","11,920",101
2018/1/18 22:00,"11,720","11,900","11,700","11,700",17
2018/1/18 21:00,"12,000","12,000","11,590","11,690",34
2018/1/18 20:00,"11,590","11,870","11,590","11,830",8
2018/1/18 19:00,"11,540","11,600","11,540","11,600",4
2018/1/18 18:00,"11,250","11,320","11,170","11,320",16
,,,,,
2018/1/18 16:00,"10,950","10,950","10,830","10,900",7
2018/1/18 15:00,"11,000","11,000","10,900","10,930",10
,,,,,
2018/1/18 13:00,"11,250","11,250","11,170","11,170",5
2018/1/18 12:00,"11,570","11,570","11,480","11,520",11
2018/1/18 11:00,"11,690","11,790","11,670","11,780",14
2018/1/18 10:00,"11,660","11,750","11,400","11,750",19
2018/1/18 9:00,"11,200","11,660","11,200","11,660",9
2018/1/18 8:00,"11,170","11,330","10,980","10,980",5
2018/1/18 7:00,"11,320","11,330","10,930","11,050",32
2018/1/18 6:00,"11,300","11,500","11,250","11,300",12
2018/1/18 5:00,"10,750","11,120","10,720","10,820",35
2018/1/18 4:00,"10,200","10,910","10,200","10,882",27
2018/1/18 3:00,"10,060","10,330","9,956","10,200",32
2018/1/18 2:00,"10,200","10,240","9,960","10,021",18
2018/1/18 1:00,"10,040","10,460","9,970","10,230",26
2018/1/18 0:00,"9,380","10,150","9,310","10,150",56
2018/1/17 23:00,"9,810","9,840","9,390","9,420",235
2018/1/17 22:00,"10,520","10,520","9,800","9,850",76
2018/1/17 21:00,"10,710","10,720","10,495","10,600",23
2018/1/17 20:00,"10,450","10,640","10,030","10,640",9
2018/1/17 19:00,"10,210","10,610","10,150","10,530",15
2018/1/17 18:00,"10,940","10,950","10,200","10,220",38
2018/1/17 17:00,"11,100","11,100","10,800","10,940",14
2018/1/17 16:00,"11,300","11,301","10,910","11,020",94
2018/1/17 15:00,"11,580","11,600","11,300","11,300",23
2018/1/17 14:00,"11,170","11,500","11,054","11,470",17
2018/1/17 13:00,"11,260","11,400","11,000","11,030",15
2018/1/17 12:00,"10,900","10,960","10,820","10,880",8
2018/1/17 11:00,"11,060","11,130","11,000","11,130",8
,,,,,
2018/1/17 9:00,"11,420","11,420","11,180","11,350",10
2018/1/17 8:00,"11,350","11,750","11,350","11,500",18
2018/1/17 7:00,"10,400","11,520","10,250","11,520",52
2018/1/17 6:00,"11,000","11,164","10,300","10,300",94
