date,begin,high,low,end,volume
2018/1/26 22:00,"10,665","10,690","10,550","10,550",5
2018/1/26 21:00,"10,500","10,650","10,500","10,650",4
2018/1/26 20:00,"10,450","10,450","10,345","10,345",11
,,,,,
2018/1/26 18:00,"10,500","10,500","10,300","10,300",3
2018/1/26 17:00,"11,000","11,000","10,550","10,550",3
,,,,,
2018/1/26 15:00,"11,475","11,475","11,475","11,475",1
,,,,,
,,,,,
,,,,,
2018/1/26 11:00,"11,550","11,550","11,550","11,550",1
,,,,,
,,,,,
2018/1/26 8:00,"11,230","11,230","11,230","11,230",1
,,,,,
2018/1/26 6:00,"11,265","11,290","11,265","11,290",2
2018/1/26 5:00,"11,210","11,380","11,170","11,380",5
2018/1/26 4:00,"11,190","11,190","11,180","11,180",2
2018/1/26 3:00,"11,190","11,205","11,190","11,205",2
2018/1/26 2:00,"10,950","11,010","10,935","11,010",3
2018/1/26 1:00,"11,000","11,060","10,900","10,900",8
2018/1/26 0:00,"11,210","11,210","10,980","10,980",6
,,,,,
2018/1/25 22:00,"11,185","11,185","11,185","11,185",1
2018/1/25 21:00,"11,160","11,200","11,100","11,100",3
,,,,,
2018/1/25 19:00,"11,420","11,420","11,370","11,370",2
,,,,,
2018/1/25 17:00,"11,430","11,490","11,410","11,490",5
2018/1/25 16:00,"11,575","11,575","11,575","11,575",1
2018/1/25 15:00,"11,640","11,640","11,640","11,640",1
,,,,,
2018/1/25 13:00,"11,540","11,540","11,540","11,540",1
2018/1/25 12:00,"11,580","11,580","11,580","11,580",1
2018/1/25 11:00,"11,500","11,710","11,500","11,610",6
2018/1/25 10:00,"11,470","11,550","11,470","11,550",4
,,,,,
2018/1/25 8:00,"11,260","11,260","11,260","11,260",1
,,,,,
,,,,,
2018/1/25 5:00,"11,240","11,240","11,190","11,190",2
,,,,,
2018/1/25 3:00,"11,120","11,120","11,120","11,120",2
2018/1/25 2:00,"11,090","11,090","11,090","11,090",1
2018/1/25 1:00,"11,110","11,115","11,015","11,090",6
,,,,,
2018/1/24 23:00,"11,390","11,450","11,365","11,380",7
2018/1/24 22:00,"11,425","11,430","11,425","11,430",2
,,,,,
,,,,,
2018/1/24 19:00,"11,220","11,220","11,220","11,220",1
2018/1/24 18:00,"10,805","11,055","10,790","11,055",3
,,,,,
,,,,,
2018/1/24 15:00,"10,725","10,775","10,725","10,775",3
2018/1/24 14:00,"10,730","10,745","10,690","10,745",15
2018/1/24 13:00,"10,625","10,650","10,550","10,650",9
,,,,,
2018/1/24 11:00,"10,720","10,720","10,720","10,720",1
2018/1/24 10:00,"10,735","10,860","10,735","10,860",2
2018/1/24 9:00,"10,725","10,725","10,725","10,725",1
2018/1/24 8:00,"11,130","11,130","10,945","10,945",3
,,,,,
2018/1/24 6:00,"11,030","11,090","11,030","11,090",3
2018/1/24 5:00,"11,030","11,240","11,000","11,240",5
2018/1/24 4:00,"11,095","11,095","11,095","11,095",1
2018/1/24 3:00,"11,375","11,375","11,280","11,300",3
2018/1/24 2:00,"11,300","11,300","11,300","11,300",1
2018/1/24 1:00,"10,965","11,400","10,945","11,400",36
2018/1/24 0:00,"10,460","10,850","10,460","10,850",17
2018/1/23 23:00,"10,500","10,500","10,500","10,500",1
2018/1/23 22:00,"10,200","10,325","10,200","10,315",7
2018/1/23 21:00,"10,460","10,460","10,460","10,460",1
2018/1/23 20:00,"10,445","10,475","9,990","9,990",10
,,,,,
,,,,,
2018/1/23 17:00,"10,490","10,670","10,485","10,645",14
,,,,,
2018/1/23 15:00,"10,565","10,565","10,520","10,520",2
2018/1/23 14:00,"10,530","10,530","10,385","10,385",6
2018/1/23 13:00,"10,870","10,875","10,870","10,875",4
2018/1/23 12:00,"10,915","11,000","10,915","11,000",8
,,,,,
,,,,,
2018/1/23 9:00,"10,725","10,725","10,725","10,725",1
,,,,,
,,,,,
2018/1/23 6:00,"10,370","10,370","10,225","10,270",5
2018/1/23 5:00,"10,610","10,610","10,315","10,505",9
2018/1/23 4:00,"10,480","10,480","10,480","10,480",1
2018/1/23 3:00,"10,550","10,600","10,550","10,600",2
2018/1/23 2:00,"10,590","10,650","10,590","10,650",3
2018/1/23 1:00,"10,400","10,590","10,395","10,590",5
2018/1/23 0:00,"10,500","10,635","10,460","10,460",8
2018/1/22 23:00,"10,720","10,740","10,660","10,740",5
2018/1/22 22:00,"11,110","11,110","10,450","10,660",16
,,,,,
2018/1/22 20:00,"11,720","11,720","11,720","11,720",1
2018/1/22 19:00,"11,730","11,745","11,730","11,740",6
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/22 13:00,"11,700","11,700","11,660","11,660",8
,,,,,
2018/1/22 11:00,"11,540","11,540","11,540","11,540",1
2018/1/22 10:00,"11,620","11,620","11,525","11,525",2
,,,,,
2018/1/22 8:00,"11,420","11,460","11,420","11,455",3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/20 6:00,"11,585","11,585","11,585","11,585",1
2018/1/20 5:00,"11,280","11,355","11,280","11,335",3
2018/1/20 4:00,"11,370","11,370","11,370","11,370",1
2018/1/20 3:00,"11,340","11,390","11,200","11,280",6
2018/1/20 2:00,"11,655","11,655","11,340","11,340",4
2018/1/20 1:00,"11,755","11,810","11,715","11,800",7
2018/1/20 0:00,"11,610","11,610","11,610","11,610",1
2018/1/19 23:00,"11,885","11,885","11,605","11,605",6
2018/1/19 22:00,"12,160","12,160","11,860","11,860",8
2018/1/19 21:00,"11,885","11,885","11,885","11,885",1
,,,,,
2018/1/19 19:00,"12,055","12,055","12,055","12,055",1
2018/1/19 18:00,"11,845","11,845","11,845","11,845",1
2018/1/19 17:00,"11,515","12,020","11,515","11,980",7
,,,,,
,,,,,
,,,,,
2018/1/19 13:00,"11,180","11,480","11,180","11,480",3
2018/1/19 12:00,"11,175","11,175","11,175","11,175",1
,,,,,
2018/1/19 10:00,"11,605","11,610","11,600","11,610",3
2018/1/19 9:00,"11,535","11,535","11,535","11,535",1
2018/1/19 8:00,"11,200","11,200","11,200","11,200",1
,,,,,
2018/1/19 6:00,"11,695","11,695","11,695","11,695",1
2018/1/19 5:00,"11,840","12,045","11,840","12,045",5
,,,,,
,,,,,
2018/1/19 2:00,"11,830","11,830","11,595","11,595",4
2018/1/19 1:00,"11,895","11,895","11,765","11,805",4
2018/1/19 0:00,"12,100","12,165","12,035","12,060",6
2018/1/18 23:00,"11,725","12,000","11,725","12,000",3
,,,,,
2018/1/18 21:00,"11,725","11,970","11,725","11,970",2
2018/1/18 20:00,"11,585","11,585","11,585","11,585",1
2018/1/18 19:00,"11,245","11,245","11,240","11,240",2
2018/1/18 18:00,"11,140","11,405","11,140","11,405",3
,,,,,
,,,,,
2018/1/18 15:00,"11,245","11,245","11,245","11,245",1
,,,,,
2018/1/18 13:00,"11,630","11,630","11,630","11,630",1
2018/1/18 12:00,"11,800","11,800","11,800","11,800",1
,,,,,
2018/1/18 10:00,"11,500","11,755","11,500","11,755",3
,,,,,
2018/1/18 8:00,"11,145","11,200","11,145","11,200",3
,,,,,
2018/1/18 6:00,"11,025","11,025","11,025","11,025",1
2018/1/18 5:00,"10,790","11,025","10,790","11,025",7
2018/1/18 4:00,"10,205","10,595","10,150","10,580",11
2018/1/18 3:00,"10,135","10,135","9,995","9,995",2
2018/1/18 2:00,"10,385","10,395","10,065","10,170",6
2018/1/18 1:00,"9,960","10,340","9,885","10,340",6
2018/1/18 0:00,"9,660","9,875","9,375","9,875",29
2018/1/17 23:00,"10,040","10,040","9,595","9,690",30
2018/1/17 22:00,"10,430","10,430","10,430","10,430",1
,,,,,
2018/1/17 20:00,"10,710","10,710","10,075","10,075",3
2018/1/17 19:00,"10,340","10,365","10,205","10,305",6
2018/1/17 18:00,"10,925","10,925","10,500","10,525",12
2018/1/17 17:00,"11,000","11,000","11,000","11,000",1
2018/1/17 16:00,"11,380","11,380","11,380","11,380",1
,,,,,
2018/1/17 14:00,"11,085","11,085","11,085","11,085",1
2018/1/17 13:00,"10,840","11,480","10,840","11,480",8
2018/1/17 12:00,"11,075","11,075","10,730","11,010",7
,,,,,
,,,,,
2018/1/17 9:00,"11,820","11,820","11,340","11,340",4
2018/1/17 8:00,"11,200","11,515","11,000","11,515",6
,,,,,
,,,,,
2018/1/17 5:00,"11,200","11,200","11,200","11,200",2
2018/1/17 4:00,"11,700","11,840","11,695","11,800",5
2018/1/17 3:00,"11,345","11,660","11,245","11,660",11
2018/1/17 2:00,"11,835","11,835","11,400","11,400",12
2018/1/17 1:00,"12,305","12,305","12,195","12,195",2
2018/1/17 0:00,"11,850","12,305","11,850","12,295",9
2018/1/16 23:00,"11,665","12,155","11,665","12,050",7
2018/1/16 22:00,"12,100","12,100","11,665","11,665",8
2018/1/16 21:00,"12,185","12,185","12,185","12,185",1
2018/1/16 20:00,"11,980","12,010","11,975","12,010",3
2018/1/16 19:00,"11,600","11,600","11,600","11,600",1
2018/1/16 18:00,"11,970","11,970","11,600","11,600",10
2018/1/16 17:00,"12,215","12,215","11,585","12,205",10
2018/1/16 16:00,"12,680","12,680","12,615","12,615",2
2018/1/16 15:00,"13,070","13,070","13,070","13,070",1
2018/1/16 14:00,"12,940","12,940","12,930","12,930",2
2018/1/16 13:00,"12,930","13,020","12,930","13,020",2
2018/1/16 12:00,"13,140","13,140","12,830","12,830",4
2018/1/16 11:00,"13,050","13,050","13,050","13,050",1
2018/1/16 10:00,"13,000","13,050","12,795","13,050",3
2018/1/16 9:00,"13,455","13,460","13,200","13,200",5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/16 2:00,"14,000","14,080","13,995","13,995",7
2018/1/16 1:00,"14,035","14,035","14,035","14,035",1
,,,,,
2018/1/15 23:00,"14,260","14,270","14,260","14,270",2
2018/1/15 22:00,"14,255","14,255","14,255","14,255",1
2018/1/15 21:00,"13,740","14,085","13,715","14,085",4
2018/1/15 20:00,"13,620","13,620","13,620","13,620",1
,,,,,
,,,,,
,,,,,
2018/1/15 16:00,"13,735","13,735","13,710","13,710",2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2018/1/15 10:00,"13,700","13,765","13,700","13,765",2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
