btcdate,btcbegin,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2017-12-25 15:00:00,13865.2451,13883.333333333334,14096.666666666666,13883.333333333334,14059.333333333334,7.4
2017-12-25 16:00:00,13825.5254,13875.0,14075.0,13875.0,14040.0,7.0
2017-12-25 17:00:00,13981.4893,13866.666666666666,14053.333333333334,13866.666666666666,14020.666666666666,6.6000000000000005
2017-12-25 18:00:00,14200.873,13858.333333333334,14031.666666666666,13858.333333333334,14001.333333333334,6.2
2017-12-25 19:00:00,13951.1592,13850.0,14010.0,13850.0,13982.0,5.800000000000001
2017-12-25 20:00:00,14023.1201,13841.666666666666,13988.333333333334,13841.666666666666,13962.666666666666,5.4
2017-12-25 21:00:00,14238.0742,13833.333333333334,13966.666666666666,13833.333333333334,13943.333333333334,5.0
2017-12-25 22:00:00,14461.2754,13825.0,13945.0,13825.0,13924.0,4.6
2017-12-25 23:00:00,13931.292,13816.666666666666,13923.333333333334,13816.666666666666,13904.666666666666,4.2
2017-12-26 00:00:00,13648.7354,13808.333333333334,13901.666666666666,13808.333333333334,13885.333333333334,3.8000000000000003
2017-12-26 01:00:00,13894.0898,13800.0,13880.0,13800.0,13866.0,3.4000000000000004
2017-12-26 02:00:00,14029.4668,13791.666666666666,13858.333333333334,13791.666666666666,13846.666666666666,3.0
2017-12-26 03:00:00,13850.8525,13783.333333333334,13836.666666666666,13783.333333333334,13827.333333333334,2.6
2017-12-26 04:00:00,14114.5957,13775.0,13815.0,13775.0,13808.0,2.2
2017-12-26 05:00:00,14128.1748,13766.666666666666,13793.333333333334,13766.666666666666,13788.666666666666,1.8
2017-12-26 06:00:00,13783.1504,13758.333333333334,13771.666666666666,13758.333333333334,13769.333333333334,1.4
2017-12-26 07:00:00,13769.3604,13750.0,13750.0,13750.0,13750.0,1.0
2017-12-26 08:00:00,13860.5254,14150.0,14200.0,14150.0,14200.0,2.0
2017-12-26 09:00:00,13953.0469,14100.0,14305.0,14100.0,14305.0,3.5
2017-12-26 10:00:00,14012.0098,14050.0,14410.0,14050.0,14410.0,5.0
2017-12-26 11:00:00,14009.3848,14450.0,14812.0,14450.0,14812.0,6.0
2017-12-26 12:00:00,14022.125,14850.0,15214.0,14850.0,15214.0,7.0
2017-12-26 13:00:00,14736.8369,15180.0,15500.0,15180.0,15500.0,5.0
2017-12-26 14:00:00,15028.1309,15300.0,15300.0,15241.0,15241.0,2.0
2017-12-26 15:00:00,15301.8496,15300.0,15517.0,15300.0,15517.0,3.0
2017-12-26 16:00:00,15481.1055,15390.0,15390.0,15390.0,15390.0,1.0
2017-12-26 17:00:00,15412.2715,15345.0,15490.0,15345.0,15490.0,2.0
2017-12-26 18:00:00,15059.9229,15300.0,15590.0,15300.0,15590.0,3.0
2017-12-26 19:00:00,15332.0977,15540.0,15540.0,15500.0,15500.0,6.0
2017-12-26 20:00:00,15224.75,15400.0,15440.0,15400.0,15400.0,4.0
2017-12-26 21:00:00,15131.5977,15480.0,15710.0,15480.0,15550.0,5.0
2017-12-26 22:00:00,15292.6484,15580.0,15850.0,15570.0,15800.0,6.0
2017-12-26 23:00:00,15332.8496,15860.0,16050.0,15800.0,16050.0,44.0
2017-12-27 00:00:00,15780.9453,16000.0,16250.0,16000.0,16250.0,9.0
2017-12-27 01:00:00,15819.9961,16230.0,16280.0,16060.0,16220.0,16.0
2017-12-27 02:00:00,16114.4902,15990.0,16120.0,15740.0,15820.0,31.0
2017-12-27 03:00:00,15709.9863,15910.0,16110.0,15900.0,16110.0,4.0
2017-12-27 04:00:00,15709.9961,16180.0,16220.0,16150.0,16150.0,4.0
2017-12-27 05:00:00,15898.9961,16250.0,16250.0,15980.0,16050.0,4.0
2017-12-27 06:00:00,15879.9961,16060.0,16060.0,16030.0,16030.0,2.0
2017-12-27 07:00:00,15919.9961,15850.0,15850.0,15790.0,15790.0,2.0
2017-12-27 08:00:00,15780.0059,15870.0,15870.0,15870.0,15870.0,1.0
2017-12-27 09:00:00,15793.3555,16300.0,16300.0,16300.0,16300.0,1.0
2017-12-27 10:00:00,15802.1025,16300.0,16311.0,16210.0,16210.0,5.0
2017-12-27 11:00:00,15935.0059,16175.0,16430.5,16130.0,16380.0,4.5
2017-12-27 12:00:00,15869.7568,16050.0,16550.0,16050.0,16550.0,4.0
2017-12-27 13:00:00,15878.2656,16730.0,16730.0,16630.0,16670.0,3.0
2017-12-27 14:00:00,16383.8848,16665.0,16665.0,16565.0,16585.0,2.5
2017-12-27 15:00:00,16406.8223,16600.0,16600.0,16500.0,16500.0,2.0
2017-12-27 16:00:00,16399.9961,16500.0,16570.0,16400.0,16570.0,11.0
2017-12-27 17:00:00,16247.5488,16490.0,16490.0,16310.0,16310.0,2.0
2017-12-27 18:00:00,16136.9961,16100.0,16160.0,15710.0,15730.0,6.0
2017-12-27 19:00:00,15870.9561,15950.0,15970.0,15950.0,15970.0,2.0
2017-12-27 20:00:00,15646.3496,16075.0,16085.0,16075.0,16085.0,1.5
2017-12-27 21:00:00,15744.9063,16200.0,16200.0,16200.0,16200.0,1.0
