btcdate,btcbegin,btchigh,btclow,btcend,cboedate,cboebegin,cboehigh,cboelow,cboeend,cboevolumn
2018/1/30 7:00,11206.9941,11236.75,11013.3457,11049.0537,2018/1/30 7:00,11100 ,11100 ,11030 ,11030 ,4 
2018/1/30 6:00,11180.2598,11239.4736,11139.8301,11206.9941,2018/1/30 6:00,11170 ,11170 ,11110 ,11120 ,7 
2018/1/30 5:00,11126.625,11201.9648,11113.3574,11180.2598,2018/1/30 5:00,11220 ,11220 ,11220 ,11220 ,1 
2018/1/30 4:00,11226.7598,11244.7969,11111.1387,11126.625,2018/1/30 4:00,11200 ,11200 ,11160 ,11200 ,5 
2018/1/30 3:00,11230.8438,11254.7734,11140.7695,11226.7598,2018/1/30 3:00,11280 ,11280 ,11270 ,11270 ,3 
2018/1/30 2:00,11240.2383,11291.9941,11151.0352,11230.8438,2018/1/30 2:00,11240 ,11240 ,11200 ,11200 ,5 
2018/1/30 1:00,11249.5,11271.1836,11135.2363,11240.2383,2018/1/30 1:00,11270 ,11270 ,11230 ,11230 ,2 
2018/1/30 0:00,11223.6055,11263.4375,11116.0518,11249.5,2018/1/30 0:00,11160 ,11270 ,11140 ,11270 ,11 
2018/1/29 23:00,11212.7207,11322.957,11168.8604,11223.6055,2018/1/29 23:00,11280 ,11280 ,11180 ,11200 ,21 
2018/1/29 22:00,11126.8467,11218.9941,11080.3828,11212.7207,2018/1/29 22:00,11180 ,11250 ,11180 ,11250 ,9 
2018/1/29 21:00,11124.3916,11184.417,11073.3896,11126.8467,2018/1/29 21:00,11120 ,11120 ,11120 ,11120 ,1 
2018/1/29 20:00,11306.4844,11309.0244,11045.3594,11129.8066,2018/1/29 20:00,11100 ,11120 ,11000 ,11120 ,5 
2018/1/29 19:00,11231.4492,11347.9248,11178.9746,11306.4844,2018/1/29 19:00,11160 ,11160 ,11160 ,11160 ,1 
2018/1/29 18:00,11195.4473,11306.9434,11186.1445,11231.4492,2018/1/29 18:00,11260 ,11300 ,11260 ,11300 ,4 
2018/1/29 17:00,11186.6992,11335.5664,11101.2197,11195.4473,2018/1/29 17:00,11270 ,11340 ,11270 ,11340 ,2 
2018/1/29 16:00,11249.7598,11283.4844,11148.7451,11186.6992,2018/1/29 16:00,11210 ,11230 ,11130 ,11220 ,18 
2018/1/29 15:00,11395.7793,11432.2813,11172.375,11249.7598,2018/1/29 15:00,11370 ,11370 ,11370 ,11370 ,2 
2018/1/29 14:00,11411.5,11463.0137,11344.582,11395.7793,2018/1/29 14:00,11420 ,11420 ,11420 ,11420 ,5 
2018/1/29 13:00,11394.4551,11489.4043,11377.4863,11411.5,2018/1/29 13:00,11520 ,11520 ,11520 ,11520 ,1 
2018/1/29 12:00,11399.1699,11427.5156,11306.8193,11394.4551,2018/1/29 12:00,11420 ,11490 ,11420 ,11480 ,11 
2018/1/29 11:00,11392.0195,11442.8301,11291.3799,11399.1699,2018/1/29 11:00,11430 ,11440 ,11430 ,11440 ,2 
2018/1/29 10:00,11691.7109,11725.9941,11307.9082,11392.0195,2018/1/29 10:00,11440 ,11460 ,11300 ,11400 ,28 
2018/1/29 9:00,11683.3027,11782.2617,11620.5,11691.7109,2018/1/29 9:00,11750 ,11750 ,11420 ,11420 ,4 
2018/1/29 8:00,11695.0449,11732.2471,11629.4014,11683.3027,2018/1/29 8:00,11660 ,11750 ,11630 ,11750 ,44 
2018/1/29 7:00,11755.1543,11784.9043,11624.248,11695.0449,2018/1/29 7:00,11600 ,11700 ,11480 ,11660 ,17 
2018/1/29 6:00,11677.3008,11776.9961,11642.457,11755.1543,2018/1/29 6:00,,,,,
2018/1/29 5:00,11606.4805,11780.2852,11586.6211,11677.3008,2018/1/29 5:00,,,,,
2018/1/29 4:00,11566.7969,11648.374,11530.1973,11606.4805,2018/1/29 4:00,,,,,
2018/1/29 3:00,11636.502,11671.6143,11511.2754,11566.7969,2018/1/29 3:00,,,,,
2018/1/27 6:00,10965.1094,10979.9531,10808.5254,10874.7881,2018/1/27 6:00,,,,,
2018/1/27 5:00,10920.8105,11039.9043,10914.6445,10965.1094,2018/1/27 5:00,11030 ,11030 ,10970 ,10990 ,14 
2018/1/27 4:00,11010.7695,11039.9561,10887.2754,10920.8105,2018/1/27 4:00,11030 ,11030 ,10950 ,11030 ,17 
2018/1/27 3:00,11141.5508,11150.5352,10969.4492,11010.7695,2018/1/27 3:00,11040 ,11090 ,11010 ,11060 ,10 
2018/1/27 2:00,11079.6406,11141.5508,10962.8457,11141.5508,2018/1/27 2:00,11160 ,11180 ,11030 ,11030 ,17 
2018/1/27 1:00,11026.5,11238.8633,11026.5,11079.6406,2018/1/27 1:00,11070 ,11110 ,10990 ,10990 ,10 
2018/1/27 0:00,10782.8105,11030.5625,10767.7305,11026.5,2018/1/27 0:00,10970 ,11260 ,10840 ,11080 ,30 
2018/1/26 23:00,10524.7148,10817.9365,10519.6445,10782.8105,2018/1/26 23:00,10780 ,10930 ,10720 ,10920 ,11 
2018/1/26 22:00,10607.2998,10738.4492,10524.1543,10524.7148,2018/1/26 22:00,10606 ,10700 ,10550 ,10700 ,21 
2018/1/26 21:00,10505.9424,10690.6543,10401.6895,10607.2998,2018/1/26 21:00,10480 ,10710 ,10480 ,10610 ,9 
2018/1/26 20:00,10526.168,10563.0195,10386.4473,10505.9424,2018/1/26 20:00,10400 ,10400 ,10400 ,10400 ,1 
2018/1/26 19:00,10474.375,10622.0391,10366.2852,10526.168,2018/1/26 19:00,10580 ,10620 ,10440 ,10443 ,10 
2018/1/26 18:00,10732.5,10742.6484,10298.5,10474.375,2018/1/26 18:00,10490 ,10490 ,10320 ,10320 ,7 
2018/1/26 17:00,11032.5,11040.9492,10492.457,10732.5,2018/1/26 17:00,10530 ,10600 ,10460 ,10570 ,13 
2018/1/26 16:00,11371.209,11377,11028.5,11032.5,2018/1/26 16:00,11180 ,11180 ,10600 ,10600 ,29 
2018/1/26 15:00,11360.0859,11433.5469,11298.7461,11371.209,2018/1/26 15:00,11330 ,11330 ,11220 ,11220 ,6 
2018/1/26 14:00,11466.5391,11481.2051,11359.1855,11360.0859,2018/1/26 14:00,,,,,
2018/1/26 13:00,11533.5605,11558.959,11387.8691,11469.2324,2018/1/26 13:00,,,,,
2018/1/26 12:00,11588.5195,11590.2393,11477.2617,11533.5098,2018/1/26 12:00,11540 ,11550 ,11540 ,11550 ,2 
2018/1/26 11:00,11310.7285,11623.9688,11310.7285,11588.5195,2018/1/26 11:00,11520 ,11620 ,11500 ,11620 ,5 
2018/1/26 10:00,11391.834,11398.0449,11287.4834,11310.7285,2018/1/26 10:00,11490 ,11620 ,11490 ,11620 ,8 
2018/1/26 9:00,11143.5039,11406.1387,11118.7695,11391.834,2018/1/26 9:00,,,,,
2018/1/26 8:00,11162.0117,11193.1934,11074.0898,11143.5039,2018/1/26 8:00,11110 ,11170 ,11110 ,11140 ,6 
2018/1/26 7:00,11256.5234,11298.1133,11151.0957,11162.0117,2018/1/26 7:00,11210 ,11210 ,11130 ,11130 ,3 
